@relation 'tweets-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.Reorder-R1,2'

@attribute tweet string
@attribute @@class@@ {pos,neg}

@data
'i always ate more in secret amp felt so fcking guilty about it now i realize that i was working out an insane amount so of course i was starving i was in some sort of practice hrsday dayswk and also going to the gym with my mom dieting at a healthy weight was so normal',neg
'so tired of people looking down on me just because i do not_have the average or standard height and weight sumpah semua boleh gi mampos la sial aku penat',neg
' user yes it was wrongyou already know that it\'s wrong yet you chose not_to hold them accountable it\'s not_right to talk about someone\'s weight specially you\'re in front of thousands of peoplesome of them might be struggling appreciating their body',neg
'rt user if another person says something about my weight i might actually lose it',pos
'just want to be skinny enough to fit into american eagle jeans',pos
'oh to be a skinny small waisted and pretty ',pos
'rt user these throwback to my skinny tranny era are so cute ',pos
'i\'m glad i do not_have a thigh gap i almost dropped my phone into the toilet but i caught it with thunder and lighting',neg
'rt user i tell ya what if lost some weight i would look damn good in this get up ',pos
'weight watchers needs to start telling women they are single because they are fat i know you think that would be bad publicity but the truth hurts initially at the end of the day it will work because it is true  user ',pos
'best thing about losing weight is feeling better worse thing is going shopping',pos
'they made a joke about someone\'s weight and yall saying it\'s not_our place to do this hun they are idols and many young ppl look up to them do u want their young fans to think it\'s okay lol get a grip',neg
'love this little weight gain on me i just need a couole more pounds',neg
'having big thighs and trying to lose weight is so hard my weight never comes off my thighs ',pos
' user i realized on friday when i saw him that he kind of gained a little weight but only a little and that doesn\'t mean that he\'s fat and out of shape on the contrary he\'s delicious excuse the expression but i had to say it',neg
'rt user i will never understand why gaining some weight makes y\'all think it\'s the end of the world like please be serious',neg
'she is not_fat and it kind to talk about other human beings like that being too skinny is not_healthy either yr ',neg
'rt user a good week to me it\'s losing unhealthy amounts of weight',pos
'want a thigh gap like this ',pos
'never forget when i was at my lowest weight and my dad was grabbing my collarbones and lifting my shirt too see my ribs and grabbing my wrist then continued to tell me how frail i was good times',pos
' user i hate to tell you this but carbs are the enemy lol but everything in moderation body types and so many factors are there to consider so removing them from your life is not_the key but if you want to lose weight you may need to cut them out for a season',neg
'rt user so fucking fat summer is here i need to starve i need to be skinny next month',pos
'it\'s because i hide my body that ppl think i\'m skinny and that\'s exactly how i want things to be but i\'m not_skinny not_even a little bit im disgusting',pos
'i\'m a skinny boy trapped in a fat body regardless i\'m pretty sexy',neg
'diet fitness you are really risking the health condition if you are keeping excess weight explore this superior web-site ',neg
'i gained weight i think it\'s water retention because i did some resistance training yesterday but i\'m still pissed',pos
'this was my biggest fear when i get on it thank god ion gain no weight fr ',pos
' user the more curvy a woman the more sexiness there is to love and beholdskinny girls are like stick insects you wud feel like they were going to breakcurvy girls are sturdy girls x',neg
'i need to lose weight',pos
'looks like he has lost some weight ',pos
'rt user i want to be skinny then tell people its genetics',pos
'i gotta get my weight back up',neg
'just lied through my teeth to my mom to keep fasting i want to punch myself',pos
'my classmate sent me a link to a channel with tips for losing weight he probably doesnt know but my weigh is normal i literally only have a couple of extra pounds and they suit me i like to be a big and strong girl',neg
'skinny people can literally wear anything and pull it off',pos
